AR6 Category,count
High (RCP8.5),6
C1 (1.5°C with no or limited overshoot),6
C4 (Below 3°C),6
C8: High GHG emissions,6
C5 (SSP2-4.5 equivalent),5
Intermediate (SSP2-4.5),5
C1 (Low emissions),5
C7: High GHG emissions,5
C3-C4 (Intermediate),5
C2 (Likely below 2°C),5
C3 (Below 3 °C),5
SSP1-2.6 (RCP2.6 equivalent),5
C8 (High GHG emissions) - SSP5-8.5,4
SSP1-1.9,4
C4 (SSP2-4.5 equivalent),4
Very high,4
Representative Concentration Pathway,4
C3-Low,4
High GHG emissions (RCP8.5 equivalent),4
C1 (very low GHG emissions),4
C8 - SSP5-8.5,4
Very High GHG emissions,4
RCP4.5 (CMIP5),4
C3 (Likely below 3°C),4
C8 (Very high GHG emissions),4
C3a,4
Legacy RCP (CMIP5),4
C8.5,4
C2 (SSP2-4.5),4
RCP 8.5,4
C1/1.5°C,4
C1 (RCP2.6 equivalent),4
C1 (Likely below 1.5°C & Likely below 2°C),4
N/A (CMIP5 RCP),4
C3 - Below 3°C,4
C3-Low (SSP2-4.5),4
High (RCP equivalent),4
SSP5-8.5 (Very high GHG emissions),4
C3-C4 (SSP2-4.5 equivalent),4
SSP2-4.5 (C3),3
C7 (High) - SSP5-8.5,3
High emissions (SSP5-8.5),3
SSP1-4.5,3
Low GHG emissions,3
C8a (High GHG emissions),3
Intermediate (SSP2-4.5 equivalent),3
C8: Very high GHG emissions,3
C2 (SSP1-2.6),3
N/A (RCP from CMIP5),3
C7 (SSP5-8.5),3
C7-C8 (High GHG emissions),3
C1/C2,3
RCP6.0 (CMIP5),3
SSP2-4.5→C5/2.7°C,3
RCP8.5 (CMIP5),3
"C8 (SSP5-8.5, RCP8.5 equivalent)",3
High (RCP8.5 equivalent),3
C4 (Above 2°C),3
C4-C5,3
C5 (Very high GHG emissions),3
SSP5-8.5 (High emissions),3
SSP5-8.5→C8/>4°C,3
C5 (Intermediate),3
C3 - Below 2°C,3
C1 (Low),3
C8 (RCP8.5),3
C4 (RCP4.5),3
High (C7-C8),3
SSP3,3
C1 (Likely below 1.5°C with no or limited overshoot),3
Legacy RCP,3
C7 (SSP5-8.5 equivalent),3
C1-C2,3
High (>4°C),3
C1 (Likely below 2°C),3
C2 (RCP4.5 equivalent),3
C6 (~3.1°C),3
Below 2°C,3
N/A (RCP-only scenario),3
SSP5-8.5 (equivalent to RCP8.5),2
C7 (Very high GHG emissions),2
C7 (Very high emissions),2
SSP2,2
N/A (RCP pathway),2
SSP5,2
N/A (CMIP5 scenario),2
C2 (Low GHG emissions),2
C2 (Below 3°C),2
C1 (Likely below 2°C & towards 1.5°C),2
high,2
C3 (RCP4.5/WP3.4),2
Intermediate scenario,2
C8 (>4 °C),2
High GHG emissions (SSP3-7.0),2
SSP5-8.5 (C8 - Very high),2
C4 (intermediate),2
SSP3-8.5,2
Illustrative (RCP equivalent),2
C1 or C2,2
C5 (Very high emissions),2
C7: limit warming to 3.6°C (>50%),2
C3 (RCP4.5/SSP2-4.5 equivalent),2
C4 (RCP4.5/SSP2-4.5 equivalent),2
N/A (Legacy RCP scenario),2
C5 (SSP2-4.5),2
C3 (Below 2 °C),2
RCP8.5/>4°C,2
RCP (non-SSP),2
Very high (SSP5-8.5 equivalent),2
C8 (Very high emissions),2
C8 (High GHG emissions) - SSP5-8.5 equivalent,2
C4 (Intermediate GHG emissions),2
Not specified,2
C6 (SSP2-4.5 equivalent),2
N/A (SRES scenario - pre-AR6),2
C6a,2
High emissions (RCP8.5),2
RCP (CMIP5 legacy),2
"C8 (High GHG emissions, SSP5-8.5)",2
"C8 (High emissions, RCP8.5/SSP5-8.5 equivalent)",2
High emissions scenario (RCP8.5),2
C3 (RCP4.5/WP4.5),2
SSP5-8.5 (C8 – very high GHG emissions),2
SSP2-4.5 (approximate equivalent),2
High emissions,2
C7 (>4°C),2
C2 (Likely below 3°C),2
C1 (Below 1.5°C & 1.5°C with no or limited overshoot),2
C8a (SSP5-8.5),2
C1 (Likely limit warming to 1.5°C),2
SSP5-8.5 (C8 category),2
C1 (RCP/SSP1-2.6 equivalent),2
"C8 (High GHG emissions, SSP5-8.5 analogue)",2
SSP1-2.6→C3/1.8°C,2
C1 (Below 1.5 °C),2
C8: High GHG emissions (SSP5-8.5),2
C4-C5 (SSP2-4.5 equivalent),2
Not applicable,2
C5 (Below 2.7°C),2
C4 (RCP6.0 equivalent),2
RCP8.5 (no specified SSP),2
C4-C5 (RCP6.0 equivalent),2
Very high (C8),2
SSP4-6.0,2
RCP 4.5,2
C2 (SSP1-2.6 equivalent),2
C6 (SSP5-8.5),2
"C1 (SSP1-2.6, likely limit warming to 1.5 °C (>50%) with no or limited overshoot)",1
C2 (Below 3 °C),1
C4 (RCP4.5/WP4.5),1
C1 (Limited to 1.5 °C with no or limited overshoot),1
"C3 (likely below 2 °C, SSP2-4.5 equivalent)",1
C8 (High GHG emissions & SSP5-8.5),1
Medium (RCP4.5/RCP6.0),1
RCP8.5 (RCP pathway),1
C2: limit warming to 2°C (>67%),1
Illustrative,1
N/A (RCP scenario from previous assessment),1
C1-C2 (RCP equivalent),1
"High GHG emissions (RCP8.5, equivalent to SSP5-8.5)",1
Very Low (SSP1-2.6),1
C8: High GHG emissions (RCP8.5),1
N/A (RCP legacy scenario),1
N/A - The scenario does not fit into the SSP/RCP framework as it focuses specifically on localized groundwater abstraction impacts rather than broader climate scenarios.,1
RCP4.5 (Medium stabilization scenario),1
C6-C7 (2.5-4°C),1
RCP6.0 (Forcing Scenario),1
C1 (SSP1-1.9 equivalent),1
Very high (C8) - SSP5-8.5,1
SRM scenario (RCP8.5 baseline with MSB forcing reduction to RCP4.5 levels),1
C4 (approx. equivalent to SSP2-4.5),1
Custom (SSP2xRCP4.5 adaptation),1
C4a-C4b,1
SSP3-7.0 (C7),1
SSP5-8.5 (commonly associated with RCP8.5),1
C4 (2°C scenarios),1
C10 (Temperature overshoot),1
SSP5-8.5 (aligned with RCP8.5),1
Intermediate (RCP4.5 concentration pathway),1
C1 (low overshoot / RCP equivalent),1
C3 (Lower 2 °C),1
"N/A (SRES scenario, not SSP/RCP)",1
Warming Level,1
RCP4.5 (RCP equivalent),1
C7-C8,1
C3 (SSP2-4.5/RCP4.5 equivalent),1
Analogous to SSP5-8.5 (C8),1
Approx. SSP1-2.6,1
Intermediate (C3-C4 range),1
C1a (RCP2.6/SSP1-2.6 equivalent),1
C3 (> 2 °C ≤ 3 °C),1
C2-C3 (Lower 2°C),1
RCP8.5 (C8 equivalent),1
"RCP8.5 (C8, very-high warming; >4 °C)",1
C3 (Medium stabilization),1
C2 (1.5°C with no or limited overshoot),1
C6a-C7 (RCP equivalent),1
C8 (High GHG emissions – equivalent to SSP5-8.5),1
Illustrative (RCP4.5),1
C7 (Insufficient policies),1
"N/A (RCP scenario, not SSP)",1
N/A - This scenario does not fit into any recognized AR6 categories as it is a specific experimental setup focused on the effects of black carbon emissions rather than a standard pathway.,1
C4 (Medium GHG emissions),1
RCP only (pre-AR6 scenario),1
N/A (RCP8.5 not an SSP scenario),1
RCP8.5 Forcing Level,1
N/A (RCP4.5 is a forcing pathway used by multiple SSPs across AR6 categories C1-C4),1
N/A - This scenario does not fit into AR6 categories as it focuses on localized water management strategies rather than global climate scenarios.,1
C5b,1
High GHG emissions (RCP8.5/SSP5-8.5),1
C2 (RCP2.6/SSP1-2.6 equivalent),1
C3b (RCP 6.0 equivalent),1
RCP8.5 (climate component only),1
N/A (CMIP5 RCP6.0),1
N/A (RCP8.5 not an SSP category),1
RCP 8.5 (RCP equivalent - not an SSP),1
C4 (moderate action),1
C4 (Medium Ambition),1
Custom (RCP8.5 & SSP3 hybrid),1
C6 (CSA),1
C2 (Below 2°C scenarios),1
N/A (C4 approximate),1
C3 (RCP8.5/SSP5-8.5),1
C8A (SSP5-8.5 equivalent),1
C4-Low,1
"SSP2-4.5 (equivalent to RCP 4.5, C5 classification)",1
G2,1
C6-7 (RCP equivalent),1
C8 (SSP5-8.5 / RCP8.5 equivalent),1
not_applicable,1
C5 (RCP 4.5 equivalent),1
NDCs,1
C1.2,1
C3/~1.8°C,1
C-IL,1
Custom (HT) + RCP8.5,1
C4 (approximate equivalent to RCP4.5),1
C8 - High,1
C8 (High GHG emissions - SSP5-8.5),1
C8.0 - High GHG emissions (SSP5-8.5),1
C1 (low emissions),1
N/A - Hybrid scenario (RCP8.5/SSP3),1
High (RCP8.5 / SSP5-8.5 equivalent),1
Approx. C1-C2 (RCP2.6),1
N/A (RCP equivalent),1
N/A - This scenario does not fit within the AR6 SSP/RCP framework as it does not provide specific pathways for socio-economic development or greenhouse gas emissions scenarios.,1
Illustrative (Very High GHG emissions),1
C2 - Below 2°C,1
SSP5-8.5 (C8 High GHG emissions),1
C1b (RCP equivalent),1
C1/C3,1
SSP1-2.6 (closest AR6 analogue),1
high emissions,1
C3 (Likely warming below 2°C >50%),1
C7 (RCP/CMIP5/CMIP6 scenario),1
C8 [SSP5-8.5],1
Forcing pathway (RCP8.5),1
C8-A (RCP 8.5 equivalent),1
RCP8.5 (Not an SSP scenario),1
SSP1-2.6 (analogous to RCP2.6),1
C6 (High CO2 emissions),1
C2 (1.5–<2.5°C),1
CMIP5 RCP (corresponds to SSP5-8.5 in AR6),1
Intermediate (C3),1
C3 (SSP2-4.5/RCP4.5),1
"C3 (Likely below 3°C, likely below 2.5°C)",1
C1/C2 (RCP2.6 equivalent),1
"C7 (>4 °C warming, consistent with SSP5-8.5-like)",1
C1 (Very Low),1
High GHG emissions (SSP5-8.5 / RCP8.5 equivalent),1
"C8 (>4 °C, RCP8.5-equivalent warming per AR6 WG-I Annex)",1
C3–C4 (RCP equivalent),1
RCP8.5 (SSP unspecified),1
High emissions scenario (RCP8.5 forcing),1
N/A (RCP4.5),1
C1 (below 1.5°C),1
C4 (Below 2.7°C),1
RCP8.5 (High-end forcing scenario); no direct SSP-equivalent,1
SSP5-4.5,1
"RCP8.5 (High GHG emissions, C7-C8)",1
C4 (intermediate GHG),1
"C7 (High GHG emissions, SSP5-8.5)",1
"N/A (RCP2.6 is an RCP/CMIP5 scenario, not an SSP/CMIP6 scenario)",1
C6: exceed warming of 3°C (>=50%),1
C3-Low (SSP2-4.5/RCP4.5 equivalent),1
C3-C5,1
C4 (2.5-3.0°C),1
RCP4.5 (pre-AR6 framework),1
Intermediate (RCP4.5/SSP2-4.5),1
C4 (warming levels 2.5-3.0°C),1
RCP4.5 (Medium forcing),1
C1a-C2,1
N/A - RCP6.0 is not an AR6 SSP scenario,1
C4 (limit warming to 3°C),1
SSP2-4.5 (CMIP6 equivalent),1
RCP8.5 (pre-SSP scenario),1
C5a (RCP equivalent),1
N/A - Not applicable as this scenario does not align with specific AR6 categories related to climate targets or carbon budgets.,1
SSP2-4.5 (Medium),1
C3-C4 (Below 2°C to 2°C),1
N/A (RCP6.0 is a pre-AR6 scenario),1
Legacy RCP (CMIP5 High GHG),1
C4 (Below 3°C warming),1
C8: Very high GHG emissions (RCP8.5 / SSP5-8.5 equivalent),1
C8 (SSP5-8.5 aligned),1
C1 (warming limited to 1.5°C with no or limited overshoot),1
C3 (RCP4.5/SSP2-4.5),1
Approx. SSP2-4.5,1
"Multiple SSP scenarios (e.g., SSP2-4.5)",1
C3 (SSP1-2.6),1
C1 (closest SSP equivalent: SSP1-2.6),1
C1 (Below 1.5 °C with low overshoot),1
C4 (likely below 2.5°C),1
C8 (legacy RCP8.5 classification),1
N/A (RCP8.5 scenario),1
C8 - High GHG emissions and high aerosol emissions,1
C3/C4 (RCP4.5 equivalent),1
Low (RCP2.6),1
RCP (non-SSP scenario),1
N/A (RCP4.5 - CMIP5),1
Legacy (RCP),1
C6 (RCP4.5 equivalent),1
C8 (RCP8.5 ~ SSP5-8.5),1
C4 (SSP2-4.5 / RCP4.5 equivalent),1
C1 (closest SSP equivalent),1
N/A (pre-AR6 scenario),1
C2-C3 (RCP),1
C6/7 (RCP4-6 pathway),1
"C1 (likely below 2 °C, no or low overshoot of 1.5 °C)",1
SSP5-8.5 → C8,1
"N/A – legacy RCP scenario, not SSP-RCP combination",1
"N/A (RCP8.5 is from RCP framework, not AR6 SSP framework)",1
N/A - The scenario does not fit into the SSP/RCP framework as it specifically focuses on the impacts of climate change without planned adaptation measures.,1
N/A - Custom scenario based on historical data adjustments,1
Below 3°C (C3-C4 range),1
>4°C,1
RCP2.6-based; SSP unspecified,1
SSP5-8.5 (closest AR6 analogue; source reports RCP8.5),1
Custom scenario with RCP4.5 climate component,1
C3 (RCP4.5 / SSP2-4.5),1
"N/A (RCP8.5, not an SSP)",1
"C7-C8 (RCP8.5, >4°C warming)",1
RCP2.6 equivalent (illustrative mitigation pathway),1
C1 (RCP2.6 / SSP1-2.6 equivalent),1
C3-C4 (Intermediate - RCP6.0 equivalent),1
C2 (Below 2 °C),1
N/A (custom scenario),1
C3b,1
C2 (SSP2-4.5 equivalent),1
AR5 RCP 8.5 (approx. equivalent to AR6 SSP5-8.5),1
N/A (RCP8.5 is a CMIP5/AR5 scenario),1
C3/C4,1
SSP5-8.5 (assumed),1
RCP8.5 (CMIP5) ~ SSP5-8.5,1
CMIP5 RCP Scenario,1
C3 (Medium),1
C2/C3 pathway (Below 2 °C),1
RCP4.5 (legacy RCP),1
C.3: physics-based effect,1
C5 (Below 3°C),1
C2-C3 (SSP2-4.5 equivalent),1
C5/~2.7°C,1
C8b,1
No AR6 (RCP8.5),1
C4-C6,1
N/A (RCP2.6 is CMIP5 scenario),1
C7-C8 (High and very high GHG emissions),1
C1 (Likely ≤1.5 °C with low or no overshoot),1
C3 (RCP4.5 / SSP2-4.5 equivalent),1
C5-C6 (Below 2°C to Above 2°C),1
C3 (SSP2-4.5 / RCP 4.5 equivalent),1
C1 (>50% chance of limiting warming to 1.5°C),1
C8 – RCP8.5 equivalent pathway,1
C1 (RCP equivalent) [≈ AR6 C1 near-1.5 °C pathway],1
C3 (Below 1.8°C),1
C4 (C5 under certain uncertainties),1
C3-C4,1
N/A - This scenario does not fit into the AR6 framework as it primarily focuses on localized ecological impacts rather than broader climate change mitigation or adaptation strategies.,1
Low (C1),1
C3 (RCP4.5/WGI-AR6-Table-4.2),1
High (C8),1
C1 (SSP1-2.6 analogue),1
C8i - High CO2 emissions,1
"C1 (approximate, RCP2.6 ≈ SSP1-2.6)",1
C1 (Below 1.5°C with overshoot),1
RCP 4.5 (pre-SSP category),1
Not SSP/RCP scenario—custom forest management sensitivity run.,1
C4 (Below 2°C) - equivalent to SSP2-4.5,1
C8: Very high GHG emissions (SSP5-8.5),1
"RCP8.5 (CMIP5, not SSP)",1
"C3 (≈2.7 °C, SSP2-4.5 equivalent to RCP4.5)",1
SSP2-4.5 (closest SSP analogue),1
"C8 (SSP5-8.5, Very High)",1
SSP5-8.5 (C8 - High GHG emissions),1
High (C7),1
Illustrative RCP pathway,1
C8 (High GHG emissions) - Note: RCP8.5 corresponds to SSP5-8.5 in AR6 framework,1
C1 (Very Low GHG Emissions),1
C8 (RCP8.5 CMIP5 pathway),1
C5 (CMIP5 RCP4.5 scenario; closest CMIP6: SSP2-4.5/C3),1
Intermediate (C3-C4),1
High (RCP8.5 ⇔ SSP5-8.5),1
C6/C7 (RCP equivalent),1
"C8 (SSP5-8.5 equivalent, study uses RCP8.5)",1
SSP2-4.5 (closest AR6 analog),1
Low GHG emissions (SSP1-2.6 equivalent),1
C1-C2 (below 2°C),1
RCP 2.6 pathway (not an SSP scenario),1
"Stabilization (custom, ~550 ppm CO₂)",1
C6c,1
Multiple categories (typically C2-C4),1
N/A (RCP scen),1
C7 (High warming),1
C3 (SSP2-4.5 equivalent ~2.7 °C),1
"SSP5-8.5 (High, C7-C8 equivalent)",1
High (RCP8.5/W m⁻²),1
C7 (level-based warming at 2 °C),1
C1: limit warming to 1.5°C,1
No policy,1
C1 (1.5°C pathways with no or limited overshoot),1
C3 (SSP1-2.6 equivalent),1
C2 (Below 2°C warming),1
C3 (Below 3°C per IPCC AR6 mapping),1
C1 (Low GHG emissions) - RCP2.6 equivalent,1
SSP5-8.5 (Very high emissions),1
Very high GHG emissions (C8),1
High (RCP8.5/WSSP5-8.5),1
C5 - Stabilization (SSP2-4.5 equivalent),1
C3 (Lower 2°C - RCP4.5 equivalent),1
C7 (High emissions pathway),1
RCP4.5 (~4.5 W/m² forcing level),1
RCP8.5 pathway (>4°C warming by 2100),1
very high GHG emissions scenario,1
RCP8.5 (Not an SSP),1
C8 (Very high GHG emissions - SSP5-8.5),1
RCP4.5 (not an SSP scenario),1
C4 (Intermediate),1
Not provided in source text,1
"High GHG emissions scenario (RCP8.5, CMIP5)",1
C4 (Moderate combined mitigation and adaptation challenge),1
Medium,1
"C1 (Likely below 2°C, likely below 1.5°C with overshoot)",1
RCP8.5 (CMIP5 legacy scenario),1
RCP8.5 (≈ SSP5-8.5),1
C8 (Very high),1
C6 (AR6 classification) - SSP3-7.0 is classified as C6 according to the AR6 mapping table.,1
C4 (Likely below 3°C),1
C4 - Below 3°C,1
Other scenario (RCP6.0),1
C3 (Below 2°C pathways),1
RCP (pre-AR6 framework),1
C3-C4 (RCP4.5 equivalent),1
"C7 (High, SSP5-8.5 equivalent)",1
C2 (>2°C and ≤3°C),1
C3 (for SSP2-4.5),1
C5 (RCP8.5),1
No Policy / Baseline,1
C4 – SSP2-4.5 (2.5 °C warming),1
C8 (High emissions: SSP5-8.5 equivalent to RCP8.5),1
N/A (RCP4.5 – pre-SSP scenario),1
C3 (SSP2-4.5 / RCP4.5 equivalent),1
C8 (High GHG emissions) - approximate mapping from RCP8.5,1
RCP6.0 (Legacy RCP),1
Illustrative Scenario (RCP4.5),1
"C7-C8 (High GHG emissions, SSP5-8.5 equivalent)",1
C6 (derived from SSP2-4.5),1
C8 equivalent (RCP-based),1
C3 (RCP4.5/WP3),1
"C8 (SSP5-8.5 equivalent, High GHG emissions)",1
Legacy RCP8.5,1
C2 (1.5°C with high overshoot),1
C1a (SSP1-2.6 equivalent),1
N/A (RCP8.5 - pre-SSP framework),1
C2 (Middle of the road),1
"C4 (≥3°C, no overshoot)",1
C3/1.5°C,1
C4 (RCP 4.5),1
C6 (ECP 4.5),1
C4a (Intermediate GHG),1
SSP2-4.5 (CMIP5 RCP4.5 equivalent),1
C5 – closest AR6 analogue SSP2-4.5,1
Low GHG emissions (C1),1
RCP8.5 pathway (can be combined with various SSPs),1
C5 (equivalent warming level),1
C3-C4 (Intermediate) – SSP2-4.5 (RCP 4.5 equivalent),1
C3-subset ≈ SSP1-2.6 (approximate mapping for RCP 2.6),1
C1 or C2 (SSP1-2.6 equivalent),1
C4 (2.5-3°C),1
RCP2.6 (CMIP5 scenario),1
C8 - High GHG emissions (RCP8.5),1
"C1 (SSP1-2.6, RCP equivalent)",1
C3 (Lower 2°C) - SSP2-4.5 equivalent,1
C5: likely below 2.0°C,1
C8 - No or low overshoot >4°C,1
High (RCP8.5 equivalent to SSP5-8.5),1
Custom/IAM,1
C2 (2°C pathway),1
C4/C6 (RCP equivalent),1
RCP (Not an SSP scenario),1
C1 (Likely below 2°C & net zero CO2 after 2050),1
C1 (SSP1-2.6 / very low GHG emissions),1
C2 (Lower 2°C warming range),1
N/A (RCP2.6 corresponds to SSP1-2.6-C1),1
C1 (Below 1.5°C with 50% probability),1
C3 (SSP3),1
N/A (RCP8.5 scenario - AR5/CMIP5),1
Very Low GHG emissions – RCP2.6 forcing,1
C8a - High GHG emissions,1
C7/3.6°C,1
N/A - This scenario does not correspond to any recognized SSP or RCP pathways as it combines specific local climate changes and vegetation responses that are not directly aligned with global pathways.,1
High (RCP8.5/WCE8.5),1
C5 (SSP5-8.5),1
RCP4.5 (Not an SSP scenario),1
C8 - High GHG emissions (SSP5-8.5 equivalent),1
C4 (RCP-4.5 equivalent),1
High-end,1
"SSP5-8.5 (C8, AR6 classification)",1
SSP1-2.6 equivalent,1
C3-C4 (Approximate mapping from RCP4.5 to SSP2-4.5),1
RCP8.5 (SSP5-8.5-equivalent),1
"N/A (RCP4.5 is a CMIP5/AR5 forcing pathway, not an AR6 SSP scenario)",1
C2 (equivalent to SSP1-2.6),1
N/A (RCP2.6 scenario),1
C8 - High (SSP5-8.5),1
C1 (Very low emissions),1
C2 (Illustrative),1
Low (SSP1),1
Pre-AR6 (RCP4.5),1
C8 (High GHG emissions scenario),1
N/A (RCP8.5),1
C1 (1.5°C with no or low overshoot),1
High GHG emissions (RCP8.5) | N/A,1
High GHG emissions (RCP8.5 / SSP5-8.5),1
C8 - High challenges to mitigation and adaptation,1
C4 (2.5°C–3°C warming),1
RCP8.5 (no direct AR6 SSP category),1
RCP4.5 (RCP-equivalent),1
"C3 (Below 3 °C), reconciled via SSP2-4.5",1
"C2 (Lower 2°C, RCP4.5-equivalent)",1
C8 (Cat 8: Decline - >4°C),1
C3 (~2.7°C),1
Non-AR6 scenario combination (SSP1 with RCP4.5),1
C5 (RCP equivalent) (as mapped in the source paper),1
C5 (RCP4.5 equivalent),1
C6/2.7°C,1
C8 (High GHG emissions equivalent to SSP5-8.5),1
C7 (RCP8.5/SSP3),1
C3 (RCP4.5/WB2 equivalent),1
cat8 (RCP8.5 equivalent),1
Approximately equivalent to SSP2-4.5 (C5-C6),1
C4 (likely 2°C),1
C1/C2 (RCP2.6/SSP1-2.6 equivalent),1
C1 (limit warming to 1.5 °C with no or limited overshoot),1
SSP5-8.5 equivalent,1
>4 °C high-warming pathway,1
C3/D2,1
C1-lowOS,1
Non-standard combination: RCP8.5+SSP3 (deviation from standard AR6 scenario combinations),1
C3 (very low),1
C3-MASSIVE-GT,1
C2 (RCP4.5),1
C2 (SSP2-4.5 / RCP4.5 equivalent),1
W2,1
Not an AR6 scenario (RCP framework),1
Analogous to SSP5-8.5 (High-end),1
RCP-8.5,1
C8 - High emissions (RCP 8.5 equivalent),1
C1 (Below 1.5 °C with no or limited overshoot),1
Categorized pathway (CMIP5 RCP4.5),1
SSP1-2.6 (approximate RCP2.6 equivalent),1
C6-C8,1
High GHG emissions scenario (RCP8.5),1
C7 (High CO2 emissions),1
RCP8.5 (no SSP specified),1
C7 (3.6-4.4°C),1
C5-mid,1
"RCP2.6 (roughly equivalent to SSP1-2.6, AR6 Category C3)",1
C3 (Moderate mitigation scenario),1
C5 (RCP 4.5),1
C8 (maps to SSP5-8.5),1
C4 (intermediate emissions),1
C3-C4: limited warming with overshoot to 2.5-3.0°C,1
"SSP5-8.5 (Very high, C8)",1
"C7 - No CC policies, High challenges to adaptation & mitigation",1
Likely below 3°C,1
not explicitly categorized in AR6,1
C6–C7,1
N/A - SRES scenario,1
C4b,1
Custom,1
Custom Scenario - Not Applicable,1
"N/A (Custom U25M25C25 scenario, outside SSP/RCP framework)",1
N/A (RCP2.6 = CMIP5 scenario),1
RCP8.5 Forcing Level (N/A in SSP-only categories),1
C8 - High emissions (RCP8.5 equivalent),1
SSP1-2.6 (CMIP5 RCP2.6 equivalent),1
"SSP5-8.5 (High, legacy RCP8.5 analogue)",1
Legacy RCP scenario (Pre-dates AR6 framework; nearest AR6 equivalent would be SSP1-1.9 or SSP1-2.6 but not specified in text),1
RCP-based,1
N/A (RCP framework),1
C8 (High GHG emissions). The RCP8.5 scenario used is analogous to the AR6 SSP5-8.5 pathway.,1
RCP8.5 (High-end scenario),1
N/A (RCP8.5 – CMIP5 analogue of SSP5-8.5),1
None (RCP scenario),1
N/A (not stated),1
High (no/low overshoot),1
CMIP5 RCP8.5 (approximately equivalent to SSP5-8.5),1
High (C8 / RCP-equivalent),1
RCP (Not SSP),1
C7 (Very high emissions and warming),1
N/A (RCP8.5 is an AR5 scenario),1
C3-C6,1
Lower 2°C (L2),1
"SSP5-8.5 (High emissions, C8 category)",1
"C4 (SSP2-4.5, RCP equivalent)",1
SSP2-4.5 (C5),1
C5-t1 (SSP2-4.5),1
C7 (RCP),1
C4 (RCP4.5/SSP2-4.5),1
"C5 (RCP equivalent, RCP-only scenario, SSP unspecified)",1
RCP 4.5 (≈ WGIII warming category C5),1
Legacy RCP scenario (CMIP5),1
Legacy RCP (corresponds to SSP2-4.5 in AR6),1
RCP8.5 (mapped to SSP5-8.5),1
SSP5-8.5 (AR6 counterpart to RCP8.5),1
C8 – High GHG (SSP5-8.5 equivalent),1
Tier 2 (SSP2-4.5),1
RCP8.5 (pre-AR6 scenario),1
N/A (CMIP5 RCP4.5; AR6 equivalent ~ SSP2-4.5),1
SSP1-1.9→C1/1.5°C,1
USC – Unharmonized,1
SSP2-4.5 (RCP 4.5 analogue),1
C5 (3°C scenarios),1
High-emission scenario (RCP8.5),1
C6 (intermediate emissions),1
C3 (approximate),1
C3 or C4 (SSP2-4.5 equivalent),1
C1 (below 2 °C),1
Reserved (not applicable to pure RCP2.6 runs),1
N/A (RCP8.5 is an AR5 pathway),1
C8 SSP5-8.5,1
N/A (RCP 8.5 from CMIP5),1
Lower 2 °C (SSP2-4.5),1
HIGH,1
Incorrect,1
High (~3°C),1
