File Name,Scenario Name,AR6 Category,AR6 Carbon Budget,cb,cb_parse_mode,cb_relation,cb_exclusion_reason,AR6 cross-check flag
"Ding 等 - 2024 - Comprehensive Risk Assessment of Sea Level Rise and Tropical Cyclones in Dongzhaigang Mangroves, Chi.pdf",SSP1-2.6,C1,~500 Gt CO₂ from 2020 (50 % chance of <1.5 °C),500.0,unit-bound scalar,~,,False
"Ding 等 - 2024 - Comprehensive Risk Assessment of Sea Level Rise and Tropical Cyclones in Dongzhaigang Mangroves, Chi.pdf",SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
"Ding 等 - 2024 - Comprehensive Risk Assessment of Sea Level Rise and Tropical Cyclones in Dongzhaigang Mangroves, Chi.pdf",SSP5-8.5,C7,Effectively zero for 1.5°C or 2°C targets,,excluded,,no unambiguous carbon-budget value,False
Oztop和Farooq - 2025 - Global habitat suitability of invasive weed Xanthium spinosum L. under CMIP6 climate projecti.pdf,SSP1-2.6,C1,500,500.0,field-only scalar,,,False
Gao 等 - 2025 - A Simulation of a Suitable Habitat for Acer yangbiense and Cinnamomum chago Under Clim.pdf,SSP126,C1,"N/A (SSP126 is a pathway, not a budget category)",,excluded,,explicitly missing/unspecified,False
"Vaissi - 2022 - Response of Iranian lizards to future climate change by poleward expansion, southern contraction, an.pdf",RCP2.6,C1 (Very low GHG emissions),~500 Gt CO2 from 2020 for 1.5°C with 50% probability,500.0,unit-bound scalar,~,,False
Al-Yahyai 等 - 2017 - Scenarios Based Climate Projection for Oman Water Resources.pdf,RCP2.6,Reserved (not applicable to pure RCP2.6 runs),Reserved (not applicable to pure RCP2.6 runs),,excluded,,no unambiguous carbon-budget value,False
Zhang和Shindell - 2021 - Costs from labor losses due to extreme heat in the USA attributable to climate change.pdf,RCP8.5,N/A (RCP8.5 is an AR5 pathway),N/A (RCP8.5 exceeds any relevant carbon-budget framework),,excluded,,explicitly missing/unspecified,False
Hewitt 等 - 2016 - Sources of Uncertainty in Future Projections of the Carbon Cycle.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Khajehali 等 - 2024 - A fusion-based framework for daily flood forecasting in multiple-step-ahead and near-future under cl.pdf,SSP5-8.5,C8,Not Compatible (>2000 Gt CO2 from 2020),2000.0,unit-bound scalar,>,,False
Khajehali 等 - 2024 - A fusion-based framework for daily flood forecasting in multiple-step-ahead and near-future under cl.pdf,SSP1-2.6,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
Ballarin 等 - 2024 - Frequency Rather Than Intensity Drives Projected Changes of Rainfall Events in Brazil.pdf,SSP5-8.5,HIGH,1330 GtCO₂,1330.0,unit-bound scalar,,,False
Barredo和Gomez - 2008 - Towards a set of IPCC SRES urban land use scenarios modelling urban land use in the Madrid region.pdf,B2 - Compact development,C4,1793.871566014591,1793.871566014591,field-only scalar,,,False
Ahn和Jeon - 2019 - Power sector reform and CO2 abatement costs in Korea.pdf,Baseline Scenario,C8,4067.198904304981,4067.198904304981,field-only scalar,,,False
Feng 等 - 2020 - Spatially-explicit modeling and intensity analysis of China's land use change 2000-2050.pdf,Business-as-Usual (BAU) scenario for land use in China,C7: limit warming to 4°C (>50%),4421.106912693341,4421.106912693341,field-only scalar,,,False
Morales-Marin 等 - 2018 - Potential Changes of Annual-Averaged Nutrient Export in the South Saskatchewan River Basin under Cli.pdf,RCP2.6,C1,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Mao 等 - 2024 - Climate change favors expansion of three Eucalyptus species in China.pdf,SSP126,C1,~100-300 Gt CO2,200.0,unit-bound range midpoint,~,,False
"Ayele 等 - 2016 - Assessing Climate Change Impact on Gilgel Abbay and Gumara Watershed Hydrology, the Upper Blue Nile.pdf",A2,C2: return warming to 1.5°C (>50%) after a high overshoot,102.7723603383973,102.7723603383973,field-only scalar,,,False
"Ayele 等 - 2016 - Assessing Climate Change Impact on Gilgel Abbay and Gumara Watershed Hydrology, the Upper Blue Nile.pdf",B1,C3: limit warming to 2°C (>67%),652.4725285661066,652.4725285661066,field-only scalar,,,False
Hodgdon 等 - 2022 - Climate-driven changes in growth and size at maturity of Gulf of Maine lobster stocks implications.pdf,G1,C2: return warming to 1.5°C (>50%) after a high overshoot,602.1546766650441,602.1546766650441,field-only scalar,,,False
Hodgdon 等 - 2022 - Climate-driven changes in growth and size at maturity of Gulf of Maine lobster stocks implications.pdf,G2,C4: limit warming to 2°C (>50%),633.5057805520881,633.5057805520881,field-only scalar,,,False
Yoshida 等 - 2017 - Future Changes in Tropical Cyclone Activity in High-Resolution Large-Ensemble Simulations.pdf,RCP8.5,SSP5-8.5,~1700 Gt CO2 (from 2020),1700.0,unit-bound scalar,~,,False
Sitch 等 - 2005 - Impacts of future land cover changes on atmospheric CO2 and climate - art. no. GB2013.pdf,A2,C7,102.7723603383973,102.7723603383973,field-only scalar,,,True
Sitch 等 - 2005 - Impacts of future land cover changes on atmospheric CO2 and climate - art. no. GB2013.pdf,B1,C4,652.4725285661066,652.4725285661066,field-only scalar,,,False
Sitch 等 - 2005 - Impacts of future land cover changes on atmospheric CO2 and climate - art. no. GB2013.pdf,B2,C6,835.4639342141137,835.4639342141137,field-only scalar,,,False
Ouyang 等 - 2022 - Albedo changes caused by future urbanization contribute to global warming.pdf,SSP2-4.5,C5,2745 GtCO2,2745.0,unit-bound scalar,,,False
Liu和Yang - 2022 - Northward expansion of fire-adaptative vegetation in future warming.pdf,SSP245,C3,2750 GtCO₂,2750.0,unit-bound scalar,,,False
Kadkhodazadeh 等 - 2022 - A New Methodology for Reference Evapotranspiration Prediction and Uncertainty Analysis under Climate.pdf,SSP245-cov-fossil,C3,2065 Gt CO2 (best-estimate budget for SSP2-4.5),2065.0,unit-bound scalar,,,False
Kadkhodazadeh 等 - 2022 - A New Methodology for Reference Evapotranspiration Prediction and Uncertainty Analysis under Climate.pdf,SSP245-cov-modgreen,C3,"~1150 GtCO₂ (2020 onward, 50 % < 2 °C)",1150.0,unit-bound scalar,~,,False
"Beigi和Tsai - 2015 - Comparative study of climate-change scenarios on groundwater recharge, southwestern Mississippi and.pdf",B1,C3: limit warming to 2°C (>67%),652.4725285661066,652.4725285661066,field-only scalar,,,False
Bhattacharya 等 - 2023 - Optimal design and life-long adaptation of civil infrastructure under climate change and uncertain d.pdf,SSP2-4.5,C3,Not a standard AR6 budget value,,excluded,,no unambiguous carbon-budget value,False
Boe和Terray - 2015 - Can metric-based approaches really improve multi-model climate projections The case of summer tempe.pdf,RCP8.5,SSP5-8.5,Very high emissions,,excluded,,no unambiguous carbon-budget value,False
Yang 等 - 2017 - Identifying separate impacts of climate and land usecover change on hydrological processes in upper.pdf,S1,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Yang 等 - 2017 - Identifying separate impacts of climate and land usecover change on hydrological processes in upper.pdf,S2 - Hydrological Impact of Land Use Change under 1982-1995 Climate,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Paparrizos和Matzarakis - 2017 - Assessment of future climate change impacts on the hydrological regime of selected Greek areas with.pdf,B1,C3: limit warming to 2°C (>67%),652.4725285661066,652.4725285661066,field-only scalar,,,False
Verma 等 - 2023 - A long-term drought assessment over India using CMIP6 framework  present and future perspectives.pdf,SSP2 4.5,C5,1750 GtCO₂ (post-2020 remaining budget),1750.0,unit-bound scalar,,,False
Abalos 等 - 2020 - Future trends in stratosphere-to-troposphere transport in CCMI models.pdf,RCP8.5,C8 (RCP equivalent),>2000 GtCO2,2000.0,unit-bound scalar,>,,False
Suomi 等 - 2025 - Economic viability of urban greening as a climate change adaptation measure in cool-climate cities.pdf,RCP2.6,C1,~500 Gt CO₂,500.0,unit-bound scalar,~,,False
Kaur 等 - 2024 - Climate response to interhemispheric differences in radiative forcing governed by shortwave cloud fe.pdf,SH,C6,4182.783765496274,4182.783765496274,field-only scalar,,,False
Kaur 等 - 2024 - Climate response to interhemispheric differences in radiative forcing governed by shortwave cloud fe.pdf,Uniform,C6,949.2331878059626,949.2331878059626,field-only scalar,,,False
"Le Minh Hai 等 - 2024 - Assessing impact of climate change on streamflow A case study in Ba River watershed, Gia Lai provin.pdf",SSP1-2.6,C1,500 Gt CO2 from 2020 for 1.5°C with 50% chance,500.0,unit-bound scalar,,,False
"Le Minh Hai 等 - 2024 - Assessing impact of climate change on streamflow A case study in Ba River watershed, Gia Lai provin.pdf",SSP5-8.5,SSP5-8.5,Not provided in the original text (literature-calculated SSP5-8.5 budgets not reported).,,excluded,,no unambiguous carbon-budget value,False
Zakari 等 - 2025 - Simulation of Streamflow in the Upper Bernam River Basin in Malaysia Using SWAT Model and CMIP6 Proj.pdf,SSP126,C1,~400 Gt CO2,400.0,unit-bound scalar,~,,False
Watson-Hernandez 等 - 2023 - Quantification and Evaluation of Water Requirements of Oil Palm Cultivation for Different Climate Ch.pdf,Baseline,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Lin 等 - 2025 - Constructing an Ecological Security Pattern Coupled with Climate Change and Ecosystem Service Valuat.pdf,SSP5-8.5,SSP5-8.5,Not specified,,excluded,,no unambiguous carbon-budget value,False
Balting 等 - 2021 - Northern Hemisphere drought risk in a warming climate.pdf,SSP1-2.6,C1,500 Gt CO2 from 2020,500.0,unit-bound scalar,,,False
Balting 等 - 2021 - Northern Hemisphere drought risk in a warming climate.pdf,SSP2-4.5,C3,1150 GtCO₂,1150.0,unit-bound scalar,,,False
Alahuhta 等 - 2011 - Climate change and the future distributions of aquatic macrophytes across boreal catchments.pdf,A1,C5,216.8368249438647,216.8368249438647,field-only scalar,,,True
Alahuhta 等 - 2011 - Climate change and the future distributions of aquatic macrophytes across boreal catchments.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Alahuhta 等 - 2011 - Climate change and the future distributions of aquatic macrophytes across boreal catchments.pdf,B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Alahuhta 等 - 2011 - Climate change and the future distributions of aquatic macrophytes across boreal catchments.pdf,B2,C5,835.4639342141137,835.4639342141137,field-only scalar,,,False
Zeigler 等 - 2017 - Effects of climate change and anthropogenic modification on a disturbance-dependent species in a lar.pdf,Baseline 20-year high-flow return interval,C7,4067.198904304981,4067.198904304981,field-only scalar,,,False
Yu 等 - 2009 - Simulating the effects of soil organic nitrogen and grazing on arctic tundra vegetation dynamics on.pdf,2°C warming,C5: limit warming to 2.5°C (>50%),1793.871566014591,1793.871566014591,field-only scalar,,,False
Al Atawneh 等 - 2024 - Predictive analysis of groundwater balance and assessment of safe yield using a probabilistic ground.pdf,SSP2-4.5,C2,2744.812344177873 (per paper methodology),2744.812344177873,field-only scalar,,,True
Banag 等 - 2015 - Bioclimatic niches of selected endemic Ixora species on the Philippines predicting habitat s.pdf,A2,C7,102.7723603383973,102.7723603383973,field-only scalar,,,True
Banag 等 - 2015 - Bioclimatic niches of selected endemic Ixora species on the Philippines predicting habitat s.pdf,B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Zhou 等 - 2023 - Effects of Climate Change on Wheat Yield and Nitrogen Losses per Unit of Yield in the Middle and Low.pdf,SSP126,C1,500,500.0,field-only scalar,,,False
"Liang 等 - 2021 - Climate change, habitat connectivity, and conservation gaps a case study of four ungulate species e.pdf",RCP2.6,C1 (SSP1-2.6),~500 Gt CO2 from 2020,500.0,unit-bound scalar,~,,False
Dietz和Venmans - 2019 - Cumulative carbon emissions and economic policy In search of general principles.pdf,Optimal carbon price under a binding temperature constraint,C4,1000 GtCO2 from 2020-2100,1000.0,unit-bound scalar,,,False
Yang 等 - 2025 - Assessing Climate Change Risks and Conservation Needs for Carpinus Species in China Using Ens.pdf,SSP126,C1,510 GtCO₂,510.0,unit-bound scalar,,,False
Zhang 等 - 2019 - Future Extreme Climate Prediction in Western Jilin Province Based on Statistical DownScaling Model.pdf,A2,C7,102.7723603383973,102.7723603383973,field-only scalar,,,True
Zhang 等 - 2019 - Future Extreme Climate Prediction in Western Jilin Province Based on Statistical DownScaling Model.pdf,B2,C7,835.4639342141137,835.4639342141137,field-only scalar,,,False
Kim 等 - 2024 - A Study on the Genetic Variations and Germination Characteristics of Rhododendron sohayakiensei.pdf,SSP3,SSP3-7.0,5565.348400074735,5565.348400074735,field-only scalar,,,False
Kim 等 - 2024 - A Study on the Genetic Variations and Germination Characteristics of Rhododendron sohayakiensei.pdf,SSP5-8.5,C8,325.3951167461587,325.3951167461587,field-only scalar,,,True
Alrakathi和Alodah - 2025 - Assessing the Impact of Climate Change on Intensity-Duration-Frequency (IDF) Curves for the Qassim R.pdf,SSP2-6,C3,4107.156743735707,4107.156743735707,field-only scalar,,,False
Zhang 等 - 2024 - Assessing GFDL-ESM4.1 Climate Responses to a Stratospheric Aerosol Injection Strategy Intended to Av.pdf,SSP5-34-OS,C5,1743.828671285641,1743.828671285641,field-only scalar,,,False
Guo 等 - 2024 - Climate Change Impact on Three Important Species of Wild Fruit Forest Ecosystems Assessing Habitat.pdf,SSP1-2.6,C1,~400-500 Gt CO2 from 2020,450.0,unit-bound range midpoint,~,,False
Guo 等 - 2024 - Climate Change Impact on Three Important Species of Wild Fruit Forest Ecosystems Assessing Habitat.pdf,SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
"Trancoso 等 - 2020 - Heatwaves intensification in Australia A consistent trajectory across past, present and future.pdf",RCP8.5,SSP5-8.5 (C8 - Very high),Very large (>2000 GtCO₂ from 2020),2000.0,unit-bound scalar,>,,False
Pitman 等 - 2011 - Importance of background climate in determining impact of land-cover change on regional climate.pdf,2×CO2,C5: limit warming to 2.5°C (>50%),1793.871566014591,1793.871566014591,field-only scalar,,,False
Wang和Sun - 2022 - Global gridded GDP data set consistent with the shared socioeconomic pathways.pdf,SSP1,C1,400-500 GtCO₂,450.0,unit-bound range midpoint,,,False
Bonaldo 等 - 2023 - The summer 2022 drought a taste of future climate for the Po valley (Italy).pdf,RCP2.6,C1 (RCP equivalent),~500 Gt CO2 (from 2020),500.0,unit-bound scalar,~,,False
Fu 等 - 2017 - Integrating regional climate change into allometric equations for estimating tree aboveground biomas.pdf,RCP2.6,"N/A (RCP framework, not AR6)",~900 Gt CO2,900.0,unit-bound scalar,~,,False
Stecher 等 - 2024 - Assessing the Impact of Climate Variability on Wind Energy Potential in Decarbonization Scenarios in.pdf,SSP 1-2.6,C3,~500–550 GtCO₂ (from 2020),525.0,unit-bound range midpoint,~,,False
Chen 等 - 2023 - Global PM2.5 Prediction and Associated Mortality to 2100 under Different Climate Change S.pdf,SSP1-2.6,C1,~500 Gt CO₂ from 2020 (for 1.5°C with 50% probability),500.0,unit-bound scalar,~,,False
Chen 等 - 2023 - Global PM2.5 Prediction and Associated Mortality to 2100 under Different Climate Change S.pdf,SSP3-7.0,C7,Exceeded,,excluded,,no unambiguous carbon-budget value,False
"Sarovic和Klaic - 2023 - Effect of Climate Change on Water Temperature and Stratification of a Small, Temperate, Karstic Lake.pdf",RCP2.6,C1 (Low GHG emissions),~1000 Gt CO2 from 2018,1000.0,unit-bound scalar,~,,False
Garcia de Leon 等 - 2015 - Disentangling the effects of feedback structure and climate on Poaceae annual airborne pollen.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Garcia de Leon 等 - 2015 - Disentangling the effects of feedback structure and climate on Poaceae annual airborne pollen.pdf,B2,C5,835.4639342141137,835.4639342141137,field-only scalar,,,False
He 等 - 2023 - Priority planting area planning for cash crops under heavy metal pollution and climate change A cas.pdf,RCP2.6,SSP1-2.6,~1000 Gt CO2,1000.0,unit-bound scalar,~,,False
Wu - 2020 - Soil-Air Partition Coefficients of Persistent Organic Pollutants Decline from Climate Warming a Cas.pdf,RCP2.6,RCP2.6,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Tettey 等 - 2019 - Design strategies and measures to minimise operation energy use for passive houses under different c.pdf,RCP2.6,C1 (Below 1.5°C with no or limited overshoot),N/A (pathway-specific),,excluded,,explicitly missing/unspecified,False
Tettey 等 - 2019 - Design strategies and measures to minimise operation energy use for passive houses under different c.pdf,RCP4.5,USC – Unharmonized,~1350–1450 Gt CO₂ from 2020 (SSP2-4.5 analogue),1400.0,unit-bound range midpoint,~,,False
McKenna 等 - 2021 - Stringent mitigation substantially reduces risk of unprecedented near-term warming rates.pdf,SSP1-1.9,C1,510 Gt CO₂,510.0,unit-bound scalar,,,False
McKenna 等 - 2021 - Stringent mitigation substantially reduces risk of unprecedented near-term warming rates.pdf,SSP1-2.6,C4,~1050 Gt CO2,1050.0,unit-bound scalar,~,,False
Demissew 等 - 2025 - Agroclimatic Indicator Analysis Under Climate Change Conditions to Predict the Climatic Suitability.pdf,ssp370,C5,Very high (>1400 GtCO₂ from 2020),1400.0,unit-bound scalar,>,,False
Demissew 等 - 2025 - Agroclimatic Indicator Analysis Under Climate Change Conditions to Predict the Climatic Suitability.pdf,ssp585,C8,Exceeds budget for 1.5°C and 2°C targets,,excluded,,no unambiguous carbon-budget value,False
"Asayama - 2021 - Threshold, budget and deadline beyond the discourse of climate scarcity and control.pdf",SSP1-1.9 pathway for 1.5°C target,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
"Vitillo 等 - 2022 - The role of carbon capture, utilization, and storage for economic pathways that limit global warming.pdf",P2,C1,500 Gt CO2,500.0,unit-bound scalar,,,False
Winiwarter 等 - 2013 - Estimating environmentally relevant fixed nitrogen demand in the 21st century.pdf,RCP2.6,C1 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Anache 等 - 2018 - Land use and climate change impacts on runoff and soil erosion at the hillslope scale in the Brazili.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Eker 等 - 2019 - Modelling the drivers of a widespread shift to sustainable diets.pdf,Sc0_Reference,C8: exceed warming of 4°C (>=50%),6016.054280938453,6016.054280938453,field-only scalar,,,False
Mueller和Reutter - 2022 - Course change Navigating urban passenger transport toward sustainability through modal shift.pdf,Modal shift target of 25% car use,C5,2619.964986816399,2619.964986816399,field-only scalar,,,False
Gong 等 - 2024 - Global net climate effects of anthropogenic reactive nitrogen.pdf,SSP 1-2.6,C1,~500 Gt CO₂,500.0,unit-bound scalar,~,,False
Zhang 等 - 2024 - Simulating the effects of optimizing sowing date and variety shift on maize production at finer scal.pdf,SSP1-2.6,C1,~500 Gt CO2 from 2020,500.0,unit-bound scalar,~,,False
Zhang 等 - 2024 - Simulating the effects of optimizing sowing date and variety shift on maize production at finer scal.pdf,SSP2-4.5,C3,1350,1350.0,field-only scalar,,,False
Lawrence 等 - 2016 - The Land Use Model Intercomparison Project (LUMIP) contribution to CMIP6 rationale and experimental.pdf,hist-noLu,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
Lawal 等 - 2023 - Integrated framework for hydrologic modelling in data-sparse watersheds and climate change impact on.pdf,SSP2(4.5),C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Lungarska和Chakir - 2024 - Projections of climate change impacts on ecosystem services and the role of land use adaptation in F.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Lungarska和Chakir - 2024 - Projections of climate change impacts on ecosystem services and the role of land use adaptation in F.pdf,B1,C4,652.4725285661066,652.4725285661066,field-only scalar,,,False
"Larbi 等 - 2021 - Local climate change projections and impact on the surface hydrology in the Vea catchment, West Afri.pdf",RCP4.5,C3 (Below 3°C),1200-1400 GtCO₂,1300.0,unit-bound range midpoint,,,False
Sun 等 - 2024 - Impacts of poverty eradication on carbon neutrality in China.pdf,S1,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Sun 等 - 2024 - Impacts of poverty eradication on carbon neutrality in China.pdf,S2,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Shi 等 - 2022 - Assessing the Impact of Climate Change on Potential Distribution of Meconopsis punicea and It.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
van Beest 等 - 2021 - Rapid shifts in Arctic tundra species' distributions and inter-specific range overlap under future c.pdf,RCP 2.6,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
van Beest 等 - 2021 - Rapid shifts in Arctic tundra species' distributions and inter-specific range overlap under future c.pdf,RCP 4.5,C5 (RCP equivalent),~600-700 GtCO₂ from 2020,650.0,unit-bound range midpoint,~,,False
"Siemens和Bastola - 2024 - Depth of closure, a review of empirical formulae and assessment of climate change along the coast of.pdf",Projected Change to Depth of Closure under RCP 4.5,C3,~1000 GtCO₂ from 2011,1000.0,unit-bound scalar,~,,False
Yao和Huang - 2025 - Adaptability comparison of climate downscaling methods and future climate projections in the Pearl R.pdf,SSP126,C1,~500 GtCO₂,500.0,unit-bound scalar,~,,False
Ambrosio 等 - 2024 - Global sustainability scenarios lead to regionally different outcomes for terrestrial biodiversity.pdf,SSP2-Ref,C5,4631.628201551354,4631.628201551354,field-only scalar,,,False
"Moore - 2017 - LEARNING, ADAPTATION, AND WEATHER IN A CHANGING CLIMATE.pdf",RCP 2.6,C1 (Below 1.5°C & 1.5°C with no or limited overshoot),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Jung 等 - 2021 - Analysis of Small Hydropower Generation Potential (2) Future Prospect of the Potential under Climat.pdf,RCP4.5,SSP2-4.5,~3000 GtCO2,3000.0,unit-bound scalar,~,,False
Solaun和Cerda - 2017 - The Impact of Climate Change on the Generation of Hydroelectric Power-A Case Study in Southern Spain.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Wu - 2020 - Risk and Uncertainty of Losing Suitable Habitat Areas Under Climate Change Scenarios A Case Study f.pdf,RCP2.6,C1 (SSP1-2.6),~500 Gt CO2 from 2020 for 1.5°C (50% probability),500.0,unit-bound scalar,~,,False
Wu - 2020 - Risk and Uncertainty of Losing Suitable Habitat Areas Under Climate Change Scenarios A Case Study f.pdf,RCP6.0,SSP2-4.5 (RCP6.0 equivalent),Not explicitly defined,,excluded,,no unambiguous carbon-budget value,False
Wu 等 - 2014 - Response of hydrology to climate change in the southern Appalachian Mountains using Bayesian inferen.pdf,A2,C7,102.7723603383973,102.7723603383973,field-only scalar,,,True
Zou - 2022 - Dynamical downscaling projections of extreme temperature for the major river basins in China under s.pdf,SSP1-2.6,C1,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Zou - 2022 - Dynamical downscaling projections of extreme temperature for the major river basins in China under s.pdf,SSP2-4.5,C5,1150,1150.0,field-only scalar,,,False
Meier 等 - 2012 - Comparing reconstructed past variations and future projections of the Baltic Sea ecosystem-first res.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Stewart 等 - 2024 - Winter is not coming evaluating impacts of changing winter conditions on coregonine reproductive ph.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
"Eskandari 等 - 2016 - Desertification of forest, range and desert in Tehran province, affected by climate change.pdf",A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
"Eskandari 等 - 2016 - Desertification of forest, range and desert in Tehran province, affected by climate change.pdf",B2,C5,835.4639342141137,835.4639342141137,field-only scalar,,,False
"Zhang 等 - 2020 - Impacts of climate change, population growth, and urbanization on future population exposure to long.pdf",RCP2.6,C1 (RCP equivalent),~500 Gt CO2,500.0,unit-bound scalar,~,,False
