Source workbook row,Economy,Sector,Stated milestone,Legacy comparison excerpt (not used for coding),Exclusion reason
32,USA,Buildings,No binding federal 2030 buildings milestone remains. The de facto national milestone is the 25-governor US Climate Alliance pledge (Sep 2023) to install 20 mill,"Weaker than 2C. Climate Action Tracker rates the overall US ""Critically Insufficient"" — consistent with a 4C+ world. The buildings effort falls far below the IEA Net Zero by 2050 (1.5C) sector benchma","Metric, scope, target year or policy status is not sufficiently comparable."
40,Iran,Power,No power-sector decarbonization target. A 30 GW renewables capacity ambition by 2030 was announced in 2022 but is unfunded/stalled (only ~0.8 GW wind+solar installed in 2021) and absent from the Seventh Five-Year Plan; grid remains ~95% fossil gas/oil with rising subsidized demand.,no plan,No current quantified sector milestone.
41,Iran,Steel,none — no steel mitigation target; Seventh Five-Year Development Plan (2023-27) excludes industrial mitigation for this major-producer sector.,no plan,No current quantified sector milestone.
42,Iran,Cement,"none — only vague undetailed pre-2025 notions (clinker substitution with industrial by-products, oil-to-gas feedstock switch); no quantified 2030 target and nothing in the Seventh Plan.",no plan,No current quantified sector milestone.
43,Iran,Chemicals,none — no petrochemical/chemicals decarbonization target; Iran is expanding petrochemical output and has no specific mitigation policy for the sector.,no plan,No current quantified sector milestone.
44,Iran,Road transport,"none — no EV/electrification strategy; policy centers on fossil-to-fossil CNG conversion (e.g. ~27,000 buses, ~500,000 taxis) plus an untimed 2017 plan to swap 400,000 motorcycles for e-bikes; market remains dominated by fossil-fuel cars.",no plan,No current quantified sector milestone.
45,Iran,Aviation,none — aviation is not addressed in any Iranian climate policy or planning document.,no plan,No current quantified sector milestone.
46,Iran,Shipping,none — shipping is not addressed in any Iranian climate policy or planning document.,no plan,No current quantified sector milestone.
47,Iran,Buildings,none — a Sixth-Plan target of 5% energy-use reduction by 2021 has expired and was not renewed; the Seventh Five-Year Plan (2023-27) contains no buildings mitigation measures.,no plan,No current quantified sector milestone.
48,Iran,Forestry & land,"No 2030 target; the only quantified land-use goal is reducing net forestry emissions from 21.6 to 16.6 MtCO2e by 2025 (cut illegal harvesting/conversion ~20%/yr, fuelwood ~10%, expand reforestation). Modest, pre-2030, and land use is minor for Iran.",weaker,No current quantified 2030 forestry/land milestone comparable with the selected benchmark.
50,Canada,Steel,"No binding government steel-sector target, but the two largest integrated mills are converting off coal: ArcelorMittal Dofasco to DRI-EAF (~3 Mt/yr cut, coal-free, targeted ~2028-2030, though construction delayed) and Algoma Steel to EAF (~70% cut), federally co-funded via the Net Zero Accelerator; heavy industry overall to fall ~31% below 2005 by 2030",partial,"Metric, scope, target year or policy status is not sufficiently comparable."
52,Canada,Chemicals,none,weaker,No current quantified sector milestone.
54,Canada,Aviation,none,weaker,No current quantified sector milestone.
55,Canada,Shipping,none,weaker,No current quantified sector milestone.
59,Australia,Steel,none — no steel-specific 2030 decarbonisation target. Covered by Safeguard Mechanism (~4.9%/yr baseline decline to 2030); Green Iron Investment Fund funds green metals but sets no low-carbon output target. Near-term abatement is efficiency/coal-to-gas plus offsets.,weaker,No current quantified sector milestone.
60,Australia,Cement,none — no cement-specific 2030 target. Covered by Safeguard Mechanism (~4.9%/yr baseline decline); Industry Sector Plan cites alternative fuels only. Heavy reliance on offsets (~two-thirds of Safeguard 'reductions' per CAT).,weaker,No current quantified sector milestone.
61,Australia,Chemicals,none — no chemicals-specific 2030 target. Covered by Safeguard Mechanism (~4.9%/yr baseline decline); Industry Sector Plan mentions tertiary abatement catalysts but no numeric goal. Offset-reliant.,weaker,No current quantified sector milestone.
62,Australia,Road transport,"none federally — New Vehicle Efficiency Standard (first-ever, from 2025) sets fleet CO2 limits, but there is no federal EV sales target (states set ~50% EV by 2030). CAT projects transport to become Australia's largest emissions source by 2030.",weaker,No current quantified sector milestone.
63,Australia,Aviation,none — no government SAF blending mandate. Voluntary industry pledges only (Qantas 10% SAF by 2030); Cleaner Fuels Programme (A$1.1bn) and Jet Zero Council support a ~2 billion litre LCLF pipeline but set no binding 2030 target.,weaker,No current quantified sector milestone.
64,Australia,Shipping,none — no domestic shipping decarbonisation 2030 target. Only broad low-carbon-liquid-fuels ambition and support for IMO measures; no concrete national milestone.,no plan,No current quantified sector milestone.
66,Australia,Forestry & land,"none — no mandatory agriculture emissions target; voluntary adoption, methane R&D, and Global Methane Pledge (30% below 2020 by 2030 all-sector) while ag methane is projected flat. Relies on LULUCF net sink (~20% of emissions); CAT flags sink projections up ~4x since 2021, inflating apparent progress.",weaker,No current quantified sector milestone.
68,Indonesia,Steel,"none. The 2025 Industrial Decarbonization Roadmap names levers (scrap-EAF expansion, hydrogen, CCUS) and an aspirational industry net-zero 2050, but there is no binding sector emissions target or timeline; meanwhile coal-based steel/NPI capacity is expanding to ~33-35 Mt by 2030 (from 16 Mt in 2023), so sector emissions are projected to rise to ~25 MtCO2 by 2030.",no plan,No current quantified sector milestone.
70,Indonesia,Chemicals,none. No sector-wide government target; only company-level projects (Pupuk Indonesia hybrid green-ammonia at Lhokseumawe and a 660 kt/yr blue ammonia plant targeted for 2030; Pertamina bio-refining). Second NDC mentions industrial electrification/efficiency and green hydrogen/ammonia promotion without quantified chemicals targets.,no plan,No current quantified sector milestone.
71,Indonesia,Road transport,"15 million EVs on the road by 2030 (2 million electric cars + 13 million electric motorcycles; Presidential Regulation 55/2019 and Second NDC), plus palm-based biodiesel mandate rising from B40 (2025) to B50 by 2028. No ICE phase-out date; implementation is far off track (e-motorcycle uptake ~0.2% of target as of 2025).",partial,Vehicle-stock and biofuel targets are not directly comparable with the EV-sales benchmark.
73,Indonesia,Shipping,"none. No domestic maritime decarbonization target or fuel mandate for 2030; Indonesia participates in the IMO framework (net-zero ~2050; 20-30% cut by 2030 vs 2008 at IMO level, not a national plan) and in green-corridor initiatives (Silk Alliance; LA/Long Beach corridor), but has no national shipping emissions plan.",no plan,No current quantified sector milestone.
76,Brazil,Steel,"none (steel-specific). Steel is covered only by the Plano Clima industry sectoral plan's economy-wide industry ceiling of 198 MtCO2e in 2030 (roughly flat vs current levels), the ENDI industrial decarbonization strategy (names steel as priority, no binding pathway), and the SBCE cap-and-trade (Law 15.042/2024) which only becomes fully operational ~2029.",weaker,No current quantified sector milestone.
77,Brazil,Cement,"none (government-mandated). Only the voluntary SNIC/IEA Cement Technology Roadmap (intensity cut to 375 kgCO2/t by 2050 from 564 kgCO2/t in 2014, modest 2030 waypoint), plus the same industry-wide 198 MtCO2e 2030 ceiling, ENDI priority listing, and future SBCE ETS coverage.",weaker,No current quantified sector milestone.
78,Brazil,Chemicals,"none. No chemicals decarbonization target or pathway; ENDI names chemicals as a hard-to-abate priority but sets no target, and the REIQ special tax regime actively subsidizes petrochemical expansion. Only generic future SBCE ETS coverage applies.",no plan,No current quantified sector milestone.
79,Brazil,Road transport,"Legislated biofuel ramp under the Fuel of the Future Law 14.993/2024: biodiesel B20 by 2030 (B15 from 2025, +1pp/yr) and ethanol blend E30 (approved by CNPE June 2025, cap raised to E35); RenovaBio CBIO decarbonization targets on fuel distributors; Mover programme efficiency/tax incentives. No EV sales target, no ICE phase-out (EVs 6.5% of light-duty sales in 2024); National Mitigation Strategy pr",partial,Biofuel blending targets are not directly comparable with the EV-sales benchmark.
81,Brazil,Shipping,"none. No adopted domestic maritime decarbonization target or fuel mandate; a Brazilian Maritime National Action Plan (BMNAP) is still only under development, and the MARES sustainable-vessel certification proposal is voluntary. Brazil defers to the IMO framework; domestic cabotage emissions are projected to grow ~28% by 2031.",no plan,No current quantified sector milestone.
82,Brazil,Buildings,"none (emissions target). Only efficiency instruments: legacy 2011 National Energy Efficiency Plan aspiration of ~10% electricity savings by 2030 (weakly implemented), PBE Edifica energy labeling (new methodology mandatory since May 2024, simplified certification for new buildings), and appliance MEPS via CGIEE/Procel. No mandatory national building energy code with enforcement, no buildings decarb",weaker,No current quantified sector milestone.
85,Japan,Chemicals,none,weaker,No current quantified sector milestone.
86,Japan,Cement,"Japan Cement Association voluntary target: reduce total CO2 emissions 15% below FY2013 by FY2030 plus an energy-intensity target; measures limited mainly to waste-derived fuels, clinker-ratio reduction and efficiency, with CCUS only at R&D stage. This is roughly a third of what 1.5C-aligned cement pathways require by 2030 and is voluntary, not regulated",weaker,"Metric, scope, target year or policy status is not sufficiently comparable."
88,Japan,Shipping,"No Japan-specific absolute 2030 cap for international shipping; Japan follows the IMO benchmark of at least 40% carbon-intensity reduction by 2030 (via EEXI/CII), targets first zero-emission ships entering service around 2028 (MLIT Roadmap to Zero Emission from International Shipping), and championed the IMO net-zero-by-2050 goal. Domestic coastal shipping is covered inside the transport-sector en",partial,Carbon-intensity target is not directly comparable with the absolute-emissions benchmark.
89,S. Korea,Road transport,"Transport sector emissions cut 37.8% below 2018 by 2030 (98.1 to 61.0 MtCO2e); cumulative 4.5 million zero-emission vehicles (EV + hydrogen) on the road by 2030. No ICE sales phase-out date, and EV stock (~0.7M) is far off-track against the 4.5M goal.",partial,Vehicle-stock and whole-sector emissions targets are not directly comparable with the EV-sales reference used for road transport.
92,S. Korea,Cement,"No binding government cement-specific target. Cement sits inside the industry sector target, which was WEAKENED in 2023 from -14.5% to -11.4% below 2018 by 2030. The Korea Cement Association's voluntary roadmap targets only ~12% emissions reduction by 2030 (alternative-fuel share to 65%, SCM clinker substitution from 10% to 15%) and just >50% by 2050, far from net zero.",weaker,"Metric, scope, target year or policy status is not sufficiently comparable."
95,India,Chemicals,"No explicit 2030 chemicals emissions target. Binding but shallow CCTS carbon-market intensity targets to FY2027 only (chlor-alkali 1.3-4.5% GEI cut vs FY2024 baseline; petrochemicals, fertiliser and refineries also notified, 1-8% range). Nearest 2030-dated milestone is cross-cutting: National Green Hydrogen Mission 5 MMT/yr green hydrogen by 2030, ~99% of current grey H2 use being refining and amm",weaker,"No chemicals-specific milestone sufficiently comparable in year, scope and metric."
96,India,Buildings,"none — no quantified 2030 buildings-sector target. Only efficiency codes: ECBC/ECSBC for commercial and Eco Niwas Samhita for residential (made enforceable by Energy Conservation Amendment Act 2022, ENS aims ~25% energy savings vs conventional design), with fragmented state-level adoption; India Cooling Action Plan targets are for 2037-38, not 2030.",weaker,No current quantified sector milestone.
98,India,Shipping,"Port-side only: Harit Sagar Green Port Guidelines (2023) target 30% reduction in carbon emissions per tonne of cargo handled and >60% renewable share of major-port power by 2030; Green Tug Transition Programme and green hydrogen bunkering hubs at Kandla, Paradip, Tuticorin. No emissions target for the domestic shipping fleet itself.",weaker,"Metric, scope, target year or policy status is not sufficiently comparable."
99,USA,Forestry & land,none,no plan,No current quantified sector milestone.
100,USA,Shipping,none,no plan,No current quantified sector milestone.
