Source workbook row,Economy,Sector,Stated milestone,Legacy comparison excerpt (not used for coding),Policy status,Policy source,Source access date,Comparability class,Selected 2030 reference,Benchmark source,Assessment rule applied,Directional alignment,Coding provenance
34,Japan,Buildings,By 2030: new houses and buildings to reach ZEH/ZEB energy-efficiency level on a new-construction average basis; residential-sector emissions cut by at least 65%,Weaker than 1.5C. IEA NZE (1.5C) buildings benchmark = 100% of new buildings zero-carbon-ready by 2030 (from ~5% in 2020) PLUS ~20% of existing stock retrofitted to zero-carbon-ready by 2030 (renovati,Government-adopted plan or target,https://www.mlit.go.jp/jutakukentiku/build/r4kaisei_shoenehou_kijunhou.html,2026-08-03,Direct principal metric,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
35,China,Forestry & land,"Forest stock volume +6 billion m3 vs 2005 by 2030 (target ~18.5bn m3 already blown past — surpassed ~20bn m3 / 17.5bn reported earlier, original goal met by 201","Weaker than 1.5C. Forestry component is roughly ~2C-consistent (C3-C4): it sustains/expands a large ~1 GtCO2/yr sink, directionally toward the IEA NZE requirement that global AFOLU turn net-negative b",Government-adopted plan or target,https://en.ndrc.gov.cn/policies/202110/t20211027_1301020.html,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
36,India,Forestry & land,"Cumulative additional carbon sink of 2.5–3 GtCO2e by 2030, requiring extra forest/tree cover over ~24.7 Mha (alongside the Bonn Challenge/UNCCD pledge to restor","Mixed / weaker than 1.5C when integrity is accounted for. Directionally, a large land sink is exactly what IPCC C1 and IEA NZE 1.5C pathways require (global AFOLU must turn net-negative by ~2040, ~250",Government-adopted plan or target,https://www.indiabudget.gov.in/economicsurvey/ebook_es2021/files/basic-html/page581.html,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
37,EU,Forestry & land,"2030 milestone: raise the EU net land sink to -310 MtCO2e (from a 2016-2018 baseline of about -268 Mt, i.e. +42 Mt of extra removals). Reality check: the sink h","Mixed: ambitious target, failing delivery. On AMBITION, the -310 Mt 2030 target is nominally 1.5C-consistent - Climate Analytics' 1.5C national pathway for the EU land sink requires only about -290 Mt",Legally binding instrument,https://www.eea.europa.eu/en/ghg-knowledge-hub/lulucf/national-obligations,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
38,Brazil,Forestry & land,Forests: zero illegal deforestation by 2030; PPCDAm targets a 75-80% cut in Amazon deforestation by 2027 en route to zero. Observed trajectory: Amazon deforesta,Mixed/split verdict. The zero-deforestation-by-2030 ambition is broadly 1.5C-aligned: IPCC C1/C2 land pathways and the IEA NZE land benchmark require halting net deforestation by ~2030 (consistent wit,Government-adopted plan or target,https://www.gov.br/mma/pt-br/composicao/smc/plano-clima,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
39,Indonesia,Forestry & land,By 2030 the land sector must deliver net -140 MtCO2e. This is a swing of ~356 MtCO2e below the NDC reference (FOLU still ~+216 MtCO2e in 2030 under the NDC/CM2 ,"Mixed. The target DESIGN (land sector flipping to a -140 MtCO2e net sink by 2030, with near-halted deforestation) is directionally consistent with the IEA Net Zero by 2050 / 1.5C land-sector benchmark",Government-adopted plan or target,https://www.kehutanan.go.id/program/INDONESIA-FOLU-NET-SINK-2030,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
49,Canada,Power,"Coal power phase-out by 2030 (on track); Clean Electricity Regulations aim for a net-zero grid, but the final rules weakened the full-decarbonization timeline from 2035 to 2050 and fossil gas generation is still projected to rise through 2030",partial,Mixed binding and aspirational instruments,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030.html,2026-08-03,Comparable component of a multi-component reference,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
51,Canada,Cement,Roadmap to Net-Zero Carbon Concrete by 2050: >15 Mt CO2e cumulative reduction by 2030 (>4 Mt/yr thereafter) and up to ~40% reduction in cement carbon intensity by 2030; heavily CCUS-dependent and largely industry-led/voluntary,partial,Industry-led or voluntary roadmap,https://ised-isde.canada.ca/site/clean-growth-hub/en/cement-and-concrete-canada/roadmap-net-zero-carbon-concrete,2026-08-03,Direct principal metric,"About 20% lower direct CO2, roughly 4% annual decline in emissions intensity, and a global clinker-to-cement ratio near 0.65.","IEA, Cement: https://www.iea.org/energy-system/industry/cement","Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
53,Canada,Road transport,ZEV sales mandate: 60% of new light-duty vehicle sales by 2030 (100% by 2035); 20%-by-2026 interim target paused Sept 2025 and under policy review; 35% medium/heavy-duty ZEV by 2030 announced but no draft regulations. CAT notes 1.5C needs 95-100% ZEV by 2030,partial,Legally binding instrument,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030/plan/chapter-3.html,2026-08-03,Direct principal metric,"Electric vehicles exceed 60% of light-duty vehicle sales by 2030, on the way to ending new internal-combustion light-vehicle sales by 2035.","IEA, Global EV Outlook 2024: https://www.iea.org/reports/global-ev-outlook-2024","Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
56,Canada,Buildings,37% emissions reduction below 2005 by 2030 target; Canada Green Building Strategy (2024) targeting 3-5% deep-retrofit rate; oil-heating phase-out in new construction from 2028; no fossil gas phase-out and no GHG limits in building codes; current policies projected to deliver only ~12-17% (large credibility gap),partial,Mixed binding and aspirational instruments,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030/plan/annex-3.html,2026-08-03,Comparable component of a multi-component reference,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
57,Canada,Forestry & land,Net-zero strategy assumes ~28-41 Mt CO2e LULUCF removals by 2030 (highly uncertain); flagship Two Billion Trees program assessed by the Auditor General as a small net SOURCE (~0.1 Mt) by 2030; agriculture has only a voluntary target to cut fertilizer emissions 30% below 2020 by 2030,weaker,Government-adopted plan or target,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030/plan/chapter-3.html,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
58,Australia,Power,"82% on-grid renewable electricity by 2030 (Electricity and Energy Sector Plan, backed by expanded Capacity Investment Scheme). No coal phase-out date; new coal projects still approved.",partial,Government-adopted plan or target,https://www.dcceew.gov.au/climate-change/emissions-reduction/net-zero/electricity-and-energy-sector-plan,2026-08-03,Direct principal metric,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
65,Australia,Buildings,7-star NatHERS thermal standard for new homes (NCC 2022); aspiration for a 'zero-carbon-ready' building code by 2030 via NCC 2025/2028 updates; electrify + energy-efficiency actions (NABERS/NatHERS/GEMS). No numeric 2030 emissions target and weak coverage of existing building stock; electrification largely voluntary.,partial,Mixed binding and aspirational instruments,https://www.industry.gov.au/news/joint-statement-energy-and-climate-change-ministerial-council-and-building-ministers-meeting-23-august-2024,2026-08-03,Comparable component of a multi-component reference,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
67,Indonesia,Power,"Renewables 19-23% of energy/power mix by 2030 (2025 National Energy Policy; Second NDC cites 19-23% renewables in power mix). RUPTL 2025-2034 cuts the 2030 renewable capacity target from 20.9 GW to 18.6 GW, backloads most renewable additions to 2030-2034, and adds ~6.3 GW new coal plus ~10.3 GW gas in the near term. No coal phase-out date or plant-retirement commitment.",weaker,Government-adopted plan or target,https://www.kehutanan.go.id/program/INDONESIA-FOLU-NET-SINK-2030,2026-08-03,Direct principal metric,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
69,Indonesia,Cement,"Ministry of Industry / ASI cement decarbonization roadmap (with GCCA) targeting roughly a 30% emissions cut by 2030 (intensity/BAU-relative, non-binding) via lower clinker-to-cement ratio and alternative fuels, on a path to net-zero only by 2050-2060. Enforcement mechanisms absent.",weaker,Industry-led or voluntary roadmap,https://www.kehutanan.go.id/program/INDONESIA-FOLU-NET-SINK-2030,2026-08-03,Direct principal metric,"About 20% lower direct CO2, roughly 4% annual decline in emissions intensity, and a global clinker-to-cement ratio near 0.65.","IEA, Cement: https://www.iea.org/energy-system/industry/cement","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
72,Indonesia,Aviation,"National SAF roadmap: 1% SAF blend mandate from 2027 (Jakarta and Bali international departures, ~60,000 kl), rising to 2.5% by 2030, 12.5% by 2040, 30% by 2050, 50% by 2060. A 2.5% blend by 2030 equates to only ~2% emissions abatement with no demand-side or efficiency targets.",weaker,Government-adopted plan or target,https://imsis-djpu.dephub.go.id/PortalDKPPU/%28English%20Translation%29%20Indonesia%20Sustainable%20Aviation%20Fuel%20%28SAF%29%20Roadmap.pdf,2026-08-03,Direct principal metric,"Sustainable aviation fuel exceeds 10% of jet-fuel use by 2030, with sector CO2 held below about 1 Gt.","IEA, Aviation: https://www.iea.org/energy-system/transport/aviation",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
74,Indonesia,Buildings,"Energy-efficiency emission reductions of 1.91 MtCO2e (commercial) and 25.87 MtCO2e (residential) by 2030 under the Enhanced NDC energy-efficiency pillar; 2023 Green Building Roadmap targets 25% energy conservation vs standard buildings, zero-carbon buildings only by 2060. Mandatory code covers only buildings >500 m2 and >8 stories; no obligatory framework for residential buildings (95% of building",weaker,Government-adopted plan or target,https://www.kehutanan.go.id/program/INDONESIA-FOLU-NET-SINK-2030,2026-08-03,Comparable component of a multi-component reference,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
75,Brazil,Power,"Maintain ~84-90% renewable electricity through 2030 (87% in 2025, mostly legacy hydro); PDE 2034 expansion of wind/solar (CAT: needs 89 GW solar / 46 GW wind by 2030 vs 53/33 GW today); Plano Clima 2026 energy sectoral ceiling under the 1.2 GtCO2e national 2030 cap. BUT no coal phase-out date, ~350 MW/yr new coal to 2031, coal subsidies to 2040 (Law 14.299), and ~8 GW of new gas mandated by Law 14",partial,Government-adopted plan or target,https://www.gov.br/mma/pt-br/composicao/smc/plano-clima,2026-08-03,Direct principal metric,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
80,Brazil,Aviation,"ProBioQAV (in Law 14.993/2024): mandatory 1% lifecycle GHG reduction per airline from 2027, ramping from 2029 to reach only ~2-3% by 2030 and 10% by 2037 via SAF blending. With traffic growth, absolute aviation emissions keep rising.",weaker,Legally binding instrument,https://www.gov.br/portos-e-aeroportos/pt-br/assuntos/noticias/2025/04/aviacao-governo-federal-atualiza-plano-para-reducao-da-emissao-de-co2,2026-08-03,Direct principal metric,"Sustainable aviation fuel exceeds 10% of jet-fuel use by 2030, with sector CO2 held below about 1 Gt.","IEA, Aviation: https://www.iea.org/energy-system/transport/aviation",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
83,Japan,Road transport,"Transport-sector CO2 capped at 146 MtCO2 in FY2030, roughly 35% below FY2013 (224 Mt), under the Plan for Global Warming Countermeasures (Cabinet decision Feb 2025); supporting goal of 100% 'electrified vehicles' in new passenger-car sales by 2035, but the category includes non-plug-in hybrids",partial,Government-adopted plan or target,https://www.mlit.go.jp/sogoseisaku/environment/sosei_environment_tk_000002.html,2026-08-03,Comparable component of a multi-component reference,"Electric vehicles exceed 60% of light-duty vehicle sales by 2030, on the way to ending new internal-combustion light-vehicle sales by 2035.","IEA, Global EV Outlook 2024: https://www.iea.org/reports/global-ev-outlook-2024","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
84,Japan,Forestry & land,"LULUCF net removals of up to 47.7 MtCO2e/yr in FY2030 (forest management, cropland/grazing-land management, revegetation), embedded in the NDC's 46% economy-wide target; however the actual sink is declining ~4%/yr as planted forests age (about 50 MtCO2 in 2019), so the target largely maintains rather than enhances the sink, and agriculture measures (MIDORI strategy) are mostly 2050-dated",partial,Government-adopted plan or target,https://www.env.go.jp/en/earth/cc/2030indc.html,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
87,Japan,Aviation,"Legal mandate that 10% of jet fuel supplied for international flights be SAF by 2030 (Basic Policy for Promoting Decarbonization in Aviation, Dec 2022; codified via amendment to the Energy Supply Structure Upgrading Law, with producer subsidies up to 30 yen/L). Comparable to leading jurisdictions (EU 6%, UK 10%) but leaves ~90% of fuel fossil in 2030 with no demand-side measures, so at best 2-3C-c",partial,Legally binding instrument,https://www.mlit.go.jp/sogoseisaku/environment/sosei_environment_tk_000002.html,2026-08-03,Direct principal metric,"Sustainable aviation fuel exceeds 10% of jet-fuel use by 2030, with sector CO2 held below about 1 Gt.","IEA, Aviation: https://www.iea.org/energy-system/transport/aviation","Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
90,S. Korea,Forestry & land,"LULUCF sink of -26.7 MtCO2e in 2030 (essentially maintaining an aging, naturally declining forest sink, not expanding it); agriculture/livestock/fisheries emissions cut 27.1% below 2018 (to 18.0 MtCO2e); national methane roadmap cuts methane 30% below 2018 by 2030 (agriculture contributes -2.5 MtCO2e via low-methane rice water management and livestock measures).",partial,Government-adopted plan or target,https://www.mofa.go.kr/www/brd/m_4080/view.do?seq=371618,2026-08-03,Directional proxy; no national allocation inferred,Deforestation falls rapidly toward a halt around 2030 and AFOLU CO2 moves toward net zero and then net-negative in 1.5°C pathways. Used directionally; no national allocation is inferred.,IPCC AR6 WGIII Chapter 7: https://www.ipcc.ch/report/ar6/wg3/chapter/chapter-7/,"At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
91,S. Korea,Buildings,"Building sector direct emissions cut 32.8% below 2018 by 2030 (52.1 to 35.0 MtCO2e); zero-energy building (ZEB) certification mandatory for public buildings since 2020, extended to private new buildings and to effectively all new construction by 2030 (~47,000 ZEBs targeted); 1.6 million cumulative green-remodeling retrofits of old buildings by 2030. No fossil-fuel boiler phase-out.",partial,Government-adopted plan or target,https://www.mofa.go.kr/www/brd/m_4080/view.do?seq=371618,2026-08-03,Comparable component of a multi-component reference,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
